dataset,algorithm,repetition,fold,tp,tn,fp,fn,train_time,predict_time
higgs_ir16,smote_gbt_100.csv,1,1,120220,2146839,768253,61813,1179239805352,3131
higgs_ir16,smote_gbt_100.csv,1,2,121625,2142150,771881,61312,1237309169981,2576
higgs_ir16,smote_gbt_100.csv,2,1,120648,2144382,769109,61525,1212199341412,2133
higgs_ir16,smote_gbt_100.csv,2,2,121131,2141683,773949,61666,1177906673410,2710
higgs_ir16,smote_gbt_100.csv,3,1,120568,2146386,767182,61948,1063199843193,1942
higgs_ir16,smote_gbt_100.csv,3,2,120426,2148279,767276,62028,1049501072063,2896
higgs_ir16,smote_gbt_100.csv,4,1,120737,2141951,774771,61798,973137857452,1956
higgs_ir16,smote_gbt_100.csv,4,2,120997,2145275,767126,61438,979660386075,1736
higgs_ir16,smote_gbt_100.csv,5,1,121667,2142179,773134,61480,1007795624155,1774
higgs_ir16,smote_gbt_100.csv,5,2,119829,2150402,763408,61994,974775390946,1947
covtype_0vs3,ros_rf_100.csv,1,1,9744,135724,5826,375,16449652936,9041
covtype_0vs3,ros_rf_100.csv,1,2,10117,134769,6982,274,17999467431,2966
covtype_0vs3,ros_rf_100.csv,2,1,9997,135027,6583,215,14055323679,6121
covtype_0vs3,ros_rf_100.csv,2,2,9953,135846,5845,345,18162246721,12114
covtype_0vs3,ros_rf_100.csv,3,1,9994,134788,6491,207,13015866123,2961
covtype_0vs3,ros_rf_100.csv,3,2,10020,135451,6571,289,15203614204,2555
covtype_0vs3,ros_rf_100.csv,4,1,10033,135580,6390,224,15730484929,2576
covtype_0vs3,ros_rf_100.csv,4,2,10008,134814,6517,245,13075366324,2623
covtype_0vs3,ros_rf_100.csv,5,1,9936,135921,5938,309,12213775438,2575
covtype_0vs3,ros_rf_100.csv,5,2,10003,134457,6985,262,16397509854,16606
covtype_0vs2,ros_gbt_100.csv,1,1,17925,137419,3871,90,479760366587,6882
covtype_0vs2,ros_gbt_100.csv,1,2,17635,138200,3811,104,497659415578,3651
covtype_0vs2,ros_gbt_100.csv,2,1,17653,137472,4081,110,521696807018,4606
covtype_0vs2,ros_gbt_100.csv,2,2,17860,137861,3887,131,513059470701,2876
covtype_0vs2,ros_gbt_100.csv,3,1,17635,137284,4222,90,524775111508,5108
covtype_0vs2,ros_gbt_100.csv,3,2,17930,137885,3910,99,531722467670,2793
covtype_0vs2,ros_gbt_100.csv,4,1,17704,137965,4032,104,530362479827,2595
covtype_0vs2,ros_gbt_100.csv,4,2,17836,137205,4099,110,530624247165,2375
covtype_0vs2,ros_gbt_100.csv,5,1,17857,137613,4227,79,523682410815,3692
covtype_0vs2,ros_gbt_100.csv,5,2,17690,137720,3741,128,537000191886,3265
covtype_0vs2,rose_gbt_100.csv,1,1,18015,73126,68164,0,566919274999,5738
covtype_0vs2,rose_gbt_100.csv,1,2,17739,73071,68940,0,624146467761,1717
covtype_0vs2,rose_gbt_100.csv,2,1,17947,73197,68296,0,604325487355,3760
covtype_0vs2,rose_gbt_100.csv,2,2,17807,73000,68808,0,625379958637,1886
covtype_0vs2,rose_gbt_100.csv,3,1,17733,72808,68543,0,615287125484,3380
covtype_0vs2,rose_gbt_100.csv,3,2,18021,73389,68561,0,618744549898,5132
covtype_0vs2,rose_gbt_100.csv,4,1,17903,73404,68575,0,615026313297,3748
covtype_0vs2,rose_gbt_100.csv,4,2,17851,72793,68529,0,624941643925,2450
covtype_0vs2,rose_gbt_100.csv,5,1,17802,73413,68497,0,632528251186,1977
covtype_0vs2,rose_gbt_100.csv,5,2,17952,72784,68607,0,632890689679,3052
covtype_0vs3,rose_gbt_100.csv,1,1,10017,123924,17626,102,704259637415,5641
covtype_0vs3,rose_gbt_100.csv,1,2,10311,124136,17615,80,774483374167,6879
covtype_0vs3,rose_gbt_100.csv,2,1,10247,124660,16726,102,775801111479,6113
covtype_0vs3,rose_gbt_100.csv,2,2,9998,128532,13383,163,802597586806,4566
covtype_0vs3,rose_gbt_100.csv,3,1,10167,124260,17030,98,779947887511,3655
covtype_0vs3,rose_gbt_100.csv,3,2,10044,129103,12908,201,785865058309,4251
covtype_0vs3,rose_gbt_100.csv,4,1,10095,128678,13371,155,789036864512,5303
covtype_0vs3,rose_gbt_100.csv,4,2,10061,128454,12798,199,771773813459,2887
covtype_0vs3,rose_gbt_100.csv,5,1,10156,124705,17114,110,788249141420,4000
covtype_0vs3,rose_gbt_100.csv,5,2,10162,124011,17471,82,814406497742,3156
covtype_1vs4,ros_rf_100.csv,1,1,8686,104405,1207,57,19866657738,9529
covtype_1vs4,ros_rf_100.csv,1,2,8567,104865,1363,57,15560036646,9171
covtype_1vs4,ros_rf_100.csv,2,1,8565,104745,1097,77,14933470791,12693
covtype_1vs4,ros_rf_100.csv,2,2,8654,104629,1369,71,14075512885,11233
covtype_1vs4,ros_rf_100.csv,3,1,8662,104396,1197,95,16635222213,3609
covtype_1vs4,ros_rf_100.csv,3,2,8559,105076,1171,51,16510357551,6355
covtype_1vs4,ros_rf_100.csv,4,1,8582,105144,1292,79,16069464866,5311
covtype_1vs4,ros_rf_100.csv,4,2,8657,103735,1669,49,12236715068,7256
covtype_1vs4,ros_rf_100.csv,5,1,8665,104770,1214,69,12961539499,4170
covtype_1vs4,ros_rf_100.csv,5,2,8549,104670,1186,84,13501293435,7681
covtype_0vs4,rose_gbt_100.csv,1,1,8771,72898,68441,0,642444475425,5944
covtype_0vs4,rose_gbt_100.csv,1,2,8596,73299,68663,0,724427862919,4453
covtype_0vs4,rose_gbt_100.csv,2,1,8583,73175,68437,0,663841762574,5720
covtype_0vs4,rose_gbt_100.csv,2,2,8784,73022,68667,0,687739766589,4095
covtype_0vs4,rose_gbt_100.csv,3,1,8500,73100,68334,0,663038072987,4341
covtype_0vs4,rose_gbt_100.csv,3,2,8867,73097,68770,0,662472811569,2437
covtype_0vs4,rose_gbt_100.csv,4,1,8801,73218,68688,0,654251538061,3940
covtype_0vs4,rose_gbt_100.csv,4,2,8566,72979,68416,0,663961139323,2999
covtype_0vs4,rose_gbt_100.csv,5,1,8662,73139,68751,0,654008859409,3833
covtype_0vs4,rose_gbt_100.csv,5,2,8705,73058,68353,0,665061862661,3883
covtype_1vs4,rus_gbt_100.csv,1,1,8738,105094,518,5,464747288642,7637
